Date;DPM;APM;SR
45985;65.7;40.7;6942
45985;80.4;42.5;6372
45985;75.3;43.4;7399
45985;87.1;49.9;6380
45985;65.7;42.3;7192
45985;83.8;41.9;6257
45978;71.4;41.1;7079
45978;85.0;50.1;6544
45876;35.7;4.5;1596
45876;34.2;9.6;1588
45876;35.4;6.1;1588
45876;34.0;9.4;1583
45876;31.8;2.1;1583
45856;34.8;3.8;1962
45856;34.3;6.0;1476
45856;41.7;11;1962
45856;34.8;11.9;1476
45856;36.5;2.9;1476
45856;38.0;13.0;1476
45856;38.0;13.0;1572
45856;32.4;12.2;1572
45838;30.1;6.4;1456
45838;40.9;4.4;2251
45838;28.5;5.8;1456
45838;42.4;13.5;2251
45838;32.5;4.0;1456
45838;45.1;15.2;2251
45838;32.7;5.9;1431
45838;35.3;6.3;1431
45838;32.3;6.0;1431
45838;41.7;5.6;2605
45838;40.4;7.5;1511
45838;40.8;4.7;2605
45838;34.9;11.6;1511
45838;27.2;5.9;1570
45838;35.3;3.6;1459
45838;31.8;5.0;1570
45838;33.2;6.9;1459
45838;27.5;8.0;1570
45838;28.1;4.7;1459
45838;33.8;10.5;2773
45838;32.3;6.0;1441
45838;31.4;11.1;2773
45838;33.7;7.7;1441
45990;52.9;25.9;4145
45990;54.1;21.7;3323
45992;53.0;23.5;4214
45992;55.9;22.6;4742
45992;60.6;24.6;4742
