Date;DPM;APM;SR
45887;82.3;35.2;6974
45887;62.2;35.4;6410
45887;76.6;39.9;7265
45887;66.9;40.3;6417
45887;80.9;49.4;7292
45887;58.9;37.5;6390
45887;45.2;24.7;4712
45887;45.6;25.8;4765
45887;45.7;18.9;3667
45887;51.2;29.2;4724
45887;48.7;20.8;3337
45887;47.1;15.4;3337
45110;137.3;126.8;16822
45110;150.5;131.6;17892
45110;151.7;135.2;16822
45110;135.8;114.9;17892
45110;145;129.4;16823
45110;149.7;136.8;17893
45110;142.3;118.4;16823
45110;148.7;132.3;17893
45110;141.2;130;16824
45110;147.6;130;17894
