Date;DPM;APM;SR
45985;126.8;99.7;15048
45985;147.6;121.5;17261
45985;116.0;98.2;15020
45985;143.2;128.7;17306
45985;133.2;106.4;15016
45985;140.1;113.7;17312
45985;135.8;112.8;15011
45985;140.6;124.9;17318
45985;128.2;104.7;15011
45985;148.2;128.7;17318
45988;44.0;21.3;5353
45988;66.0;27.6;6707
45988;48.1;25.8;5492
45988;72.3;36.5;6724
45987;57.0;22.4;4979
45987;51.7;23.3;5022
45987;55.3;20.5;4979
45987;50.5;21.8;5022
45987;55.2;25.9;4929
45987;57.3;28.7;5001
45987;45.2;21.3;5060
45987;59.3;25.9;5020
45987;59.3;22.5;5020
45987;65.2;37.4;5853
45987;58.7;28.1;4992
45987;63.3;25.1;4975
45987;57.6;20.6;4941
45988;79.2;57.2;9527
45988;92.8;63.7;9666
45988;72.4;46.1;8109
45988;90.6;61.4;9680
45988;82.3;47.1;8095
45988;91.2;65.6;9701
45988;98.2;65.0;10969
45988;93.5;50.8;10969
45988;91.9;59.0;9701
45988;91.9;57.7;9665
45988;92.2;57.7;11005
45988;89.3;48.2;8613
45988;92.2;59.5;9688
45988;86.9;57.0;9688
45988;80.6;47.7;9118
45988;88.5;58.0;9694
45988;91.9;78.5;10557
