DPM;APM;SR
87.1;37.5;9000
87.5;50.2;9000
86.4;56.3;9000
95.5;57.7;9000
76.7;56;9000
99.1;60;9000
92.3;47.2;9000
95.5;50.2;9000
96.5;55.1;9001
54.1;49;9010
90.1;64.4;9014
88.8;51;9023
81.2;52.1;9026
82.7;49.5;9030
75.7;53.5;9066
82.7;48.5;9070
74.3;52.2;9078
87.9;60;9085
81.4;47.8;9098
79.1;52.9;9113
97.3;59.1;9113
79.9;41.4;9130
78.6;47;9145
85;56.3;9148
89.3;54.3;9164
89.6;58.2;9175
80.7;38.7;9177
87.3;44.9;9190
88.4;50.3;9191
77;49.9;9195
85.8;45.6;9195
91.8;60.7;9202
85.9;29.1;9206
89.5;48.2;9219
70.4;49.4;9265
55.3;36;9283
89;45.8;9314
90.7;58.8;9337
76.6;51.7;9352
83.3;49.7;9367
87.9;60.2;9376
86.9;48.7;9376
91.1;44.9;9376
77.3;43.9;9379
84.9;58.3;9396
82.7;65.7;9474
78;51.3;9493
93.6;56.1;9574
89.4;48;9598
93.2;60;9598
72.3;41.7;9685
119.2;18.3;9698
73.6;50.1;9709
76;31.1;9713
80.5;42.1;9727
102.7;62.9;9734
81.3;56.3;9739
78.5;42.1;9741
86;64.4;9751
96.4;62.7;9758
82.9;48.2;9766
82.9;59.9;9775
81.9;32.5;9796
88.3;52.3;9804
93;55.2;9814
91.4;57;9814
89.3;63.9;9818
93;67.8;9818
92.1;46.9;9821
90.4;54.9;9821
94.6;58.1;9821
92.3;58.5;9828
89.2;50.8;9828
85.9;54;9839
81.5;50.2;9848
84.3;69.2;9856
88.9;62.78;9860
83.4;72.7;9860
68.7;55.6;9867
84.8;47.7;9886
89.9;67.6;9890
95.2;65.5;9890
80.9;36.9;9890
78.3;46;9914
83.7;59.4;9931
83.6;65.2;9950
86.9;60;9950
83;52.5;9958
83.4;49.7;9958
86.7;60.8;9965
81.1;55.6;9965
81.7;46.8;9965
76.5;49.5;9965
88.4;65.2;9965
79.9;50.4;9965
89.5;49.7;9975
82.4;53.4;9975
81.4;36.2;10031
127.4;60.7;10039
75.2;61.3;10062
110.6;58.9;10075
83.7;43.9;10097
84;60.7;10097
106.8;64.8;10101
71.1;50.7;10107
117.2;69.1;10108
79.9;24.4;10108
93.6;70.6;10125
94.7;58.9;10125
118.6;0;10140
114.8;74.4;10144
113;60.1;10144
102.4;62.5;10165
81.7;58.9;10191
88.8;57.9;10191
123.7;79.5;10195
115;63.2;10235
94.6;41;10261
99.2;23.5;10355
87.6;67.2;10355
96.4;56.8;10420
98.8;61.4;10420
88.8;64.2;10434
93.2;72.9;10439
91.9;56.1;10439
93;62.9;10443
96.2;76.1;10459
90.7;72.4;10459
97.2;85.6;10474
96.3;60;10475
94.2;55.6;10475
100.8;69.6;10476
101.4;61.2;10495
94.8;60.8;10503
82.5;50.4;10504
99.7;59.2;10506
93.6;53.9;10506
107.2;60.8;10506
91.4;51.3;10506
91.2;62.9;10506
90.9;55.5;10506
91.2;62.1;10506
94.7;57.5;10506
91.5;52.5;10506
94.6;68.6;10506
97.5;74.3;10506
82.4;61.1;10506
84.5;57.5;10506
99.3;56.6;10523
95.3;64.2;10523
93.1;71.5;10523
87.1;45.6;10529
81;65.6;10529
97.1;70.8;10529
90.6;47.9;10530
93.3;70.3;10534
92.9;63.7;10534
101.6;49.6;10534
98;72.5;10537
83.2;74.7;10537
98.4;44.6;10541
85.4;55.8;10548
90;58.9;10548
82.4;70.2;10550
89.4;57.5;10550
89.2;56.9;10554
109;64.8;10555
90.1;60.1;10555
84.2;56.8;10560
85.9;53.2;10560
88.2;58;10560
83;49.6;10561
94.2;60.2;10561
95.5;75.3;10561
89.1;55.3;10561
89.4;48.5;10565
82;41.6;10565
89.8;47.8;10568
87;57.4;10568
96.2;67.8;10572
86.4;48.1;10572
94.1;60.9;10574
90.9;56.1;10574
89.1;44.2;10576
96.6;74;10576
90.9;72.8;10581
92.2;67.7;10581
94.2;65.9;10582
89.7;54.8;10582
91.3;71.9;10584
93.3;53.6;10584
87.1;72.8;10585
85.2;57.9;10585
91.9;60.5;10585
92.9;56.4;10586
93.9;57.1;10586
87.2;62.4;10586
86.7;48;10586
86.4;62.6;10586
98;64.4;10587
84.5;60.8;10588
84.7;54.5;10588
86.2;59.7;10589
80;43.9;10589
85.3;54.8;10589
89.7;59.6;10592
95.2;68;10592
91.7;58.5;10595
84.3;42.1;10595
96.2;45.9;10595
84.3;56.9;10596
98.1;72.5;10597
92.6;83.5;10599
92;51.6;10599
100.9;77;10599
98.6;49.3;10599
86.1;61.3;10601
94.7;94.7;10601
90.8;58.5;10601
92.2;56.8;10602
88.9;69.6;10602
90.2;62.3;10602
94;60.5;10603
90.7;67.4;10604
88;65.1;10604
92.5;87.8;10604
93;57.8;10604
83.5;54.9;10604
87.1;41.9;10604
84.9;64.9;10607
89.8;64;10607
90.4;63.7;10608
96.1;65.8;10610
100;81;10610
87.8;61.4;10610
86.3;47.9;10610
96.2;69.1;10615
92.3;52;10615
90.7;54.2;10617
87.4;66.6;10617
89.1;58.6;10618
91.5;63.1;10618
87.6;93.3;10618
90.6;59.5;10619
87.1;54.1;10619
97.7;64.7;10620
91.3;56;10620
92.3;59.4;10620
85.4;53.6;10621
88.7;53.9;10622
88.8;58.3;10622
87.4;60.5;10624
88.1;61.4;10624
86.2;55.1;10624
79.5;54;10624
82.9;54.5;10624
92.6;55.1;10625
93.6;58.7;10625
92.1;48.1;10627
88.2;63.6;10627
86.4;63.5;10628
99.2;67.2;10628
89.7;50.4;10628
86.6;52.2;10628
90.4;49.4;10628
84.5;56;10629
81.3;59.1;10631
89.7;57.8;10634
90.9;64.8;10634
90.6;62.1;10634
85;56.5;10635
93.6;61.2;10635
98.3;77.1;10637
89.7;77.7;10637
92.3;86.1;10637
87.1;65.4;10637
84.1;60.2;10637
94.7;50.2;10637
97.3;74.3;10637
89.1;63.6;10637
88.2;49.1;10637
83.7;58.4;10637
94.8;75.9;10640
95.6;59.2;10640
87.8;59;10642
97.4;57.5;10642
84.5;64.1;10646
82;61.3;10646
88.1;60.6;10646
84.2;56.4;10646
93.1;73.3;10646
86.1;56.4;10646
83.6;37.1;10647
78.3;45.4;10647
97.6;65.9;10652
92.1;46;10654
