Date;DPM;APM;SR
45888;64.6;24.2;5524
45888;56.6;29;5180
45888;57.1;26.7;5465
45888;55.4;25.9;5239
45888;79;39.2;6166
45888;62.4;31;5209
45888;90.9;56.3;10054
45888;84.2;52.2;9599
45888;90.8;59.7;10091
45888;83.6;56.3;9562
45888;75;47;8232
45888;56.1;56;10028
45888;106.1;88.6;13615
45888;117.1;85.1;14065
45888;101;71;13615
45888;129.2;104.6;14065
45888;107.3;84.7;13578
45888;123;87.4;14102
45888;111;100.2;13547
45888;119.9;93.5;14141
45888;106;89.1;13613
45888;120.4;90.2;14075
45888;118;96.2;13907
45888;109.7;100.2;13673
